NAME                          INSTALLED                     FIXED-IN                   TYPE    VULNERABILITY        SEVERITY   
apt                           1.8.2.2                                                  deb     CVE-2011-3374        Negligible  
binutils                      2.31.1-16                                                deb     CVE-2019-9070        Negligible  
binutils                      2.31.1-16                                                deb     CVE-2019-9071        Negligible  
binutils                      2.31.1-16                                                deb     CVE-2019-9073        Negligible  
binutils                      2.31.1-16                                                deb     CVE-2019-9074        Negligible  
binutils                      2.31.1-16                                                deb     CVE-2019-9075        Negligible  
binutils                      2.31.1-16                                                deb     CVE-2019-9077        Negligible  
binutils                      2.31.1-16                                                deb     CVE-2020-16590       Negligible  
binutils                      2.31.1-16                                                deb     CVE-2020-16591       Negligible  
binutils                      2.31.1-16                                                deb     CVE-2020-16592       Negligible  
binutils                      2.31.1-16                                                deb     CVE-2020-16593       Negligible  
binutils                      2.31.1-16                                                deb     CVE-2020-16599       Negligible  
binutils                      2.31.1-16                                                deb     CVE-2020-35448       Negligible  
binutils                      2.31.1-16                                                deb     CVE-2020-35493       Negligible  
binutils                      2.31.1-16                                                deb     CVE-2020-35494       Negligible  
binutils                      2.31.1-16                                                deb     CVE-2020-35495       Negligible  
binutils                      2.31.1-16                                                deb     CVE-2020-35496       Negligible  
binutils                      2.31.1-16                                                deb     CVE-2020-35507       Negligible  
binutils                      2.31.1-16                                                deb     CVE-2021-20197       Negligible  
binutils                      2.31.1-16                                                deb     CVE-2021-20284       Negligible  
binutils                      2.31.1-16                                                deb     CVE-2021-20294       Negligible  
binutils                      2.31.1-16                                                deb     CVE-2021-3487        Negligible  
binutils                      2.31.1-16                                                deb     CVE-2021-3530        Negligible  
binutils                      2.31.1-16                                                deb     CVE-2021-3549        Negligible  
binutils                      2.31.1-16                                                deb     CVE-2021-3826        High        
binutils                      2.31.1-16                                                deb     CVE-2021-45078       Negligible  
binutils                      2.31.1-16                                                deb     CVE-2021-46195       Negligible  
binutils                      2.31.1-16                                                deb     CVE-2022-38533       Negligible  
binutils                      2.31.1-16                                                deb     CVE-2022-4285        Negligible  
binutils-common               2.31.1-16                                                deb     CVE-2017-13716       Negligible  
binutils-common               2.31.1-16                                                deb     CVE-2018-1000876     Negligible  
binutils-common               2.31.1-16                                                deb     CVE-2018-12697       Negligible  
binutils-common               2.31.1-16                                                deb     CVE-2018-12698       Negligible  
binutils-common               2.31.1-16                                                deb     CVE-2018-12699       Negligible  
binutils-common               2.31.1-16                                                deb     CVE-2018-12934       Negligible  
binutils-common               2.31.1-16                                                deb     CVE-2018-17358       Negligible  
binutils-common               2.31.1-16                                                deb     CVE-2018-17359       Negligible  
binutils-common               2.31.1-16                                                deb     CVE-2018-17360       Negligible  
binutils-common               2.31.1-16                                                deb     CVE-2018-17794       Negligible  
binutils-common               2.31.1-16                                                deb     CVE-2018-17985       Negligible  
binutils-common               2.31.1-16                                                deb     CVE-2018-18309       Negligible  
binutils-common               2.31.1-16                                                deb     CVE-2018-18483       Negligible  
binutils-common               2.31.1-16                                                deb     CVE-2018-18484       Negligible  
binutils-common               2.31.1-16                                                deb     CVE-2018-18605       Negligible  
binutils-common               2.31.1-16                                                deb     CVE-2018-18606       Negligible  
binutils-common               2.31.1-16                                                deb     CVE-2018-18607       Negligible  
binutils-common               2.31.1-16                                                deb     CVE-2018-18700       Negligible  
binutils-common               2.31.1-16                                                deb     CVE-2018-18701       Negligible  
binutils-common               2.31.1-16                                                deb     CVE-2018-19931       Negligible  
binutils-common               2.31.1-16                                                deb     CVE-2018-19932       Negligible  
binutils-common               2.31.1-16                                                deb     CVE-2018-20002       Negligible  
binutils-common               2.31.1-16                                                deb     CVE-2018-20623       Negligible  
binutils-common               2.31.1-16                                                deb     CVE-2018-20651       Negligible  
binutils-common               2.31.1-16                                                deb     CVE-2018-20671       Negligible  
binutils-common               2.31.1-16                                                deb     CVE-2018-20673       Negligible  
binutils-common               2.31.1-16                                                deb     CVE-2018-20712       Negligible  
binutils-common               2.31.1-16                                                deb     CVE-2018-9138        Negligible  
binutils-common               2.31.1-16                                                deb     CVE-2018-9996        Negligible  
binutils-common               2.31.1-16                                                deb     CVE-2019-1010180     Negligible  
binutils-common               2.31.1-16                                                deb     CVE-2019-1010204     Negligible  
binutils-common               2.31.1-16                                                deb     CVE-2019-12972       Negligible  
binutils-common               2.31.1-16                                                deb     CVE-2019-14250       Negligible  
binutils-common               2.31.1-16                                                deb     CVE-2019-14444       Negligible  
binutils-common               2.31.1-16                                                deb     CVE-2019-17450       Negligible  
binutils-common               2.31.1-16                                                deb     CVE-2019-17451       Negligible  
binutils-common               2.31.1-16                                                deb     CVE-2019-9070        Negligible  
binutils-common               2.31.1-16                                                deb     CVE-2019-9071        Negligible  
binutils-common               2.31.1-16                                                deb     CVE-2019-9073        Negligible  
binutils-common               2.31.1-16                                                deb     CVE-2019-9074        Negligible  
binutils-common               2.31.1-16                                                deb     CVE-2019-9075        Negligible  
binutils-common               2.31.1-16                                                deb     CVE-2019-9077        Negligible  
binutils-common               2.31.1-16                                                deb     CVE-2020-16590       Negligible  
binutils-common               2.31.1-16                                                deb     CVE-2020-16591       Negligible  
binutils-common               2.31.1-16                                                deb     CVE-2020-16592       Negligible  
binutils-common               2.31.1-16                                                deb     CVE-2020-16593       Negligible  
binutils-common               2.31.1-16                                                deb     CVE-2020-16599       Negligible  
binutils-common               2.31.1-16                                                deb     CVE-2020-35448       Negligible  
binutils-common               2.31.1-16                                                deb     CVE-2020-35493       Negligible  
binutils-common               2.31.1-16                                                deb     CVE-2020-35494       Negligible  
binutils-common               2.31.1-16                                                deb     CVE-2020-35495       Negligible  
binutils-common               2.31.1-16                                                deb     CVE-2020-35496       Negligible  
binutils-common               2.31.1-16                                                deb     CVE-2020-35507       Negligible  
binutils-common               2.31.1-16                                                deb     CVE-2021-20197       Negligible  
binutils-common               2.31.1-16                                                deb     CVE-2021-20284       Negligible  
binutils-common               2.31.1-16                                                deb     CVE-2021-20294       Negligible  
binutils-common               2.31.1-16                                                deb     CVE-2021-3487        Negligible  
binutils-common               2.31.1-16                                                deb     CVE-2021-3530        Negligible  
binutils-common               2.31.1-16                                                deb     CVE-2021-3549        Negligible  
binutils-common               2.31.1-16                                                deb     CVE-2021-3826        High        
binutils-common               2.31.1-16                                                deb     CVE-2021-45078       Negligible  
binutils-common               2.31.1-16                                                deb     CVE-2021-46195       Negligible  
binutils-common               2.31.1-16                                                deb     CVE-2022-38533       Negligible  
binutils-common               2.31.1-16                                                deb     CVE-2022-4285        Negligible  
binutils-x86-64-linux-gnu     2.31.1-16                                                deb     CVE-2017-13716       Negligible  
binutils-x86-64-linux-gnu     2.31.1-16                                                deb     CVE-2018-1000876     Negligible  
binutils-x86-64-linux-gnu     2.31.1-16                                                deb     CVE-2018-12697       Negligible  
binutils-x86-64-linux-gnu     2.31.1-16                                                deb     CVE-2018-12698       Negligible  
binutils-x86-64-linux-gnu     2.31.1-16                                                deb     CVE-2018-12699       Negligible  
binutils-x86-64-linux-gnu     2.31.1-16                                                deb     CVE-2018-12934       Negligible  
binutils-x86-64-linux-gnu     2.31.1-16                                                deb     CVE-2018-17358       Negligible  
binutils-x86-64-linux-gnu     2.31.1-16                                                deb     CVE-2018-17359       Negligible  
binutils-x86-64-linux-gnu     2.31.1-16                                                deb     CVE-2018-17360       Negligible  
binutils-x86-64-linux-gnu     2.31.1-16                                                deb     CVE-2018-17794       Negligible  
binutils-x86-64-linux-gnu     2.31.1-16                                                deb     CVE-2018-17985       Negligible  
binutils-x86-64-linux-gnu     2.31.1-16                                                deb     CVE-2018-18309       Negligible  
binutils-x86-64-linux-gnu     2.31.1-16                                                deb     CVE-2018-18483       Negligible  
binutils-x86-64-linux-gnu     2.31.1-16                                                deb     CVE-2018-18484       Negligible  
binutils-x86-64-linux-gnu     2.31.1-16                                                deb     CVE-2018-18605       Negligible  
binutils-x86-64-linux-gnu     2.31.1-16                                                deb     CVE-2018-18606       Negligible  
binutils-x86-64-linux-gnu     2.31.1-16                                                deb     CVE-2018-18607       Negligible  
binutils-x86-64-linux-gnu     2.31.1-16                                                deb     CVE-2018-18700       Negligible  
binutils-x86-64-linux-gnu     2.31.1-16                                                deb     CVE-2018-18701       Negligible  
binutils-x86-64-linux-gnu     2.31.1-16                                                deb     CVE-2018-19931       Negligible  
binutils-x86-64-linux-gnu     2.31.1-16                                                deb     CVE-2018-19932       Negligible  
binutils-x86-64-linux-gnu     2.31.1-16                                                deb     CVE-2018-20002       Negligible  
binutils-x86-64-linux-gnu     2.31.1-16                                                deb     CVE-2018-20623       Negligible  
binutils-x86-64-linux-gnu     2.31.1-16                                                deb     CVE-2018-20651       Negligible  
binutils-x86-64-linux-gnu     2.31.1-16                                                deb     CVE-2018-20671       Negligible  
binutils-x86-64-linux-gnu     2.31.1-16                                                deb     CVE-2018-20673       Negligible  
binutils-x86-64-linux-gnu     2.31.1-16                                                deb     CVE-2018-20712       Negligible  
binutils-x86-64-linux-gnu     2.31.1-16                                                deb     CVE-2018-9138        Negligible  
binutils-x86-64-linux-gnu     2.31.1-16                                                deb     CVE-2018-9996        Negligible  
binutils-x86-64-linux-gnu     2.31.1-16                                                deb     CVE-2019-1010180     Negligible  
binutils-x86-64-linux-gnu     2.31.1-16                                                deb     CVE-2019-1010204     Negligible  
binutils-x86-64-linux-gnu     2.31.1-16                                                deb     CVE-2019-12972       Negligible  
binutils-x86-64-linux-gnu     2.31.1-16                                                deb     CVE-2019-14250       Negligible  
binutils-x86-64-linux-gnu     2.31.1-16                                                deb     CVE-2019-14444       Negligible  
binutils-x86-64-linux-gnu     2.31.1-16                                                deb     CVE-2019-17450       Negligible  
binutils-x86-64-linux-gnu     2.31.1-16                                                deb     CVE-2019-17451       Negligible  
binutils-x86-64-linux-gnu     2.31.1-16                                                deb     CVE-2019-9070        Negligible  
binutils-x86-64-linux-gnu     2.31.1-16                                                deb     CVE-2019-9071        Negligible  
binutils-x86-64-linux-gnu     2.31.1-16                                                deb     CVE-2019-9073        Negligible  
binutils-x86-64-linux-gnu     2.31.1-16                                                deb     CVE-2019-9074        Negligible  
binutils-x86-64-linux-gnu     2.31.1-16                                                deb     CVE-2019-9075        Negligible  
binutils-x86-64-linux-gnu     2.31.1-16                                                deb     CVE-2019-9077        Negligible  
binutils-x86-64-linux-gnu     2.31.1-16                                                deb     CVE-2020-16590       Negligible  
binutils-x86-64-linux-gnu     2.31.1-16                                                deb     CVE-2020-16591       Negligible  
binutils-x86-64-linux-gnu     2.31.1-16                                                deb     CVE-2020-16592       Negligible  
binutils-x86-64-linux-gnu     2.31.1-16                                                deb     CVE-2020-16593       Negligible  
binutils-x86-64-linux-gnu     2.31.1-16                                                deb     CVE-2020-16599       Negligible  
binutils-x86-64-linux-gnu     2.31.1-16                                                deb     CVE-2020-35448       Negligible  
binutils-x86-64-linux-gnu     2.31.1-16                                                deb     CVE-2020-35493       Negligible  
binutils-x86-64-linux-gnu     2.31.1-16                                                deb     CVE-2020-35494       Negligible  
binutils-x86-64-linux-gnu     2.31.1-16                                                deb     CVE-2020-35495       Negligible  
binutils-x86-64-linux-gnu     2.31.1-16                                                deb     CVE-2020-35496       Negligible  
binutils-x86-64-linux-gnu     2.31.1-16                                                deb     CVE-2020-35507       Negligible  
binutils-x86-64-linux-gnu     2.31.1-16                                                deb     CVE-2021-20197       Negligible  
binutils-x86-64-linux-gnu     2.31.1-16                                                deb     CVE-2021-20284       Negligible  
binutils-x86-64-linux-gnu     2.31.1-16                                                deb     CVE-2021-20294       Negligible  
binutils-x86-64-linux-gnu     2.31.1-16                                                deb     CVE-2021-3487        Negligible  
binutils-x86-64-linux-gnu     2.31.1-16                                                deb     CVE-2021-3530        Negligible  
binutils-x86-64-linux-gnu     2.31.1-16                                                deb     CVE-2021-3549        Negligible  
binutils-x86-64-linux-gnu     2.31.1-16                                                deb     CVE-2021-3826        High        
binutils-x86-64-linux-gnu     2.31.1-16                                                deb     CVE-2021-45078       Negligible  
binutils-x86-64-linux-gnu     2.31.1-16                                                deb     CVE-2021-46195       Negligible  
binutils-x86-64-linux-gnu     2.31.1-16                                                deb     CVE-2022-38533       Negligible  
binutils-x86-64-linux-gnu     2.31.1-16                                                deb     CVE-2022-4285        Negligible  
bsdutils                      1:2.33.1-0.1                                             deb     CVE-2022-0563        Negligible  
bsdutils                      1:2.33.1-0.1                  (won't fix)                deb     CVE-2021-37600       Low         
certifi                       2020.12.5                     2022.12.07                 python  GHSA-43fp-rhv2-5gv8  Medium      
comerr-dev                    2.1-1.44.5-1+deb10u3          (won't fix)                deb     CVE-2022-1304        High        
coreutils                     8.30-3                                                   deb     CVE-2017-18018       Negligible  
coreutils                     8.30-3                        (won't fix)                deb     CVE-2016-2781        Low         
cpp-8                         8.3.0-6                       (won't fix)                deb     CVE-2018-12886       High        
cpp-8                         8.3.0-6                       (won't fix)                deb     CVE-2019-15847       High        
curl                          7.64.0-4+deb10u1                                         deb     CVE-2021-22922       Negligible  
curl                          7.64.0-4+deb10u1                                         deb     CVE-2021-22923       Negligible  
curl                          7.64.0-4+deb10u1              7.64.0-4+deb10u2           deb     CVE-2020-8169        High        
curl                          7.64.0-4+deb10u1              7.64.0-4+deb10u2           deb     CVE-2020-8177        High        
curl                          7.64.0-4+deb10u1              7.64.0-4+deb10u2           deb     CVE-2020-8231        High        
curl                          7.64.0-4+deb10u1              7.64.0-4+deb10u2           deb     CVE-2020-8284        Low         
curl                          7.64.0-4+deb10u1              7.64.0-4+deb10u2           deb     CVE-2020-8285        High        
curl                          7.64.0-4+deb10u1              7.64.0-4+deb10u2           deb     CVE-2020-8286        High        
curl                          7.64.0-4+deb10u1              7.64.0-4+deb10u2           deb     CVE-2021-22876       Medium      
curl                          7.64.0-4+deb10u1              7.64.0-4+deb10u2           deb     CVE-2021-22890       Low         
curl                          7.64.0-4+deb10u1              7.64.0-4+deb10u3           deb     CVE-2021-22898       Low         
curl                          7.64.0-4+deb10u1              7.64.0-4+deb10u3           deb     CVE-2021-22924       Low         
curl                          7.64.0-4+deb10u1              7.64.0-4+deb10u3           deb     CVE-2021-22946       High        
curl                          7.64.0-4+deb10u1              7.64.0-4+deb10u3           deb     CVE-2021-22947       Medium      
curl                          7.64.0-4+deb10u1              7.64.0-4+deb10u3           deb     CVE-2022-22576       High        
curl                          7.64.0-4+deb10u1              7.64.0-4+deb10u3           deb     CVE-2022-27776       Medium      
curl                          7.64.0-4+deb10u1              7.64.0-4+deb10u3           deb     CVE-2022-27781       High        
curl                          7.64.0-4+deb10u1              7.64.0-4+deb10u3           deb     CVE-2022-27782       High        
curl                          7.64.0-4+deb10u1              7.64.0-4+deb10u3           deb     CVE-2022-32206       Medium      
curl                          7.64.0-4+deb10u1              7.64.0-4+deb10u3           deb     CVE-2022-32208       Medium      
curl                          7.64.0-4+deb10u1              7.64.0-4+deb10u4           deb     CVE-2022-27774       Medium      
curl                          7.64.0-4+deb10u1              7.64.0-4+deb10u4           deb     CVE-2022-32221       Critical    
curl                          7.64.0-4+deb10u1              7.64.0-4+deb10u4           deb     CVE-2022-35252       Low         
curl                          7.64.0-4+deb10u1              7.64.0-4+deb10u4           deb     CVE-2022-43552       Unknown     
dirmngr                       2.2.12-1+deb10u1              (won't fix)                deb     CVE-2019-14855       Low         
dirmngr                       2.2.12-1+deb10u1              2.2.12-1+deb10u2           deb     CVE-2022-34903       Medium      
dpkg                          1.19.7                        1.19.8                     deb     CVE-2022-1664        Critical    
dpkg-dev                      1.19.7                        1.19.8                     deb     CVE-2022-1664        Critical    
e2fsprogs                     1.44.5-1+deb10u3              (won't fix)                deb     CVE-2022-1304        High        
fdisk                         2.33.1-0.1                                               deb     CVE-2022-0563        Negligible  
fdisk                         2.33.1-0.1                    (won't fix)                deb     CVE-2021-37600       Low         
g++-8                         8.3.0-6                       (won't fix)                deb     CVE-2018-12886       High        
g++-8                         8.3.0-6                       (won't fix)                deb     CVE-2019-15847       High        
gcc-8                         8.3.0-6                       (won't fix)                deb     CVE-2018-12886       High        
gcc-8                         8.3.0-6                       (won't fix)                deb     CVE-2019-15847       High        
gcc-8-base                    8.3.0-6                       (won't fix)                deb     CVE-2018-12886       High        
gcc-8-base                    8.3.0-6                       (won't fix)                deb     CVE-2019-15847       High        
gir1.2-rsvg-2.0               2.44.10-2.1                   2.44.10-2.1+deb10u1        deb     CVE-2019-20446       Medium      
git                           1:2.20.1-2+deb10u3                                       deb     CVE-2018-1000021     Negligible  
git                           1:2.20.1-2+deb10u3                                       deb     CVE-2022-24975       Negligible  
git                           1:2.20.1-2+deb10u3            1:2.20.1-2+deb10u4         deb     CVE-2021-21300       High        
git                           1:2.20.1-2+deb10u3            1:2.20.1-2+deb10u4         deb     CVE-2021-40330       High        
git                           1:2.20.1-2+deb10u3            1:2.20.1-2+deb10u5         deb     CVE-2022-24765       High        
git                           1:2.20.1-2+deb10u3            1:2.20.1-2+deb10u5         deb     CVE-2022-29187       High        
git                           1:2.20.1-2+deb10u3            1:2.20.1-2+deb10u5         deb     CVE-2022-39253       Medium      
git                           1:2.20.1-2+deb10u3            1:2.20.1-2+deb10u5         deb     CVE-2022-39260       High        
git                           1:2.20.1-2+deb10u3            1:2.20.1-2+deb10u7         deb     CVE-2022-23521       Critical    
git                           1:2.20.1-2+deb10u3            1:2.20.1-2+deb10u7         deb     CVE-2022-41903       Critical    
git-man                       1:2.20.1-2+deb10u3                                       deb     CVE-2018-1000021     Negligible  
git-man                       1:2.20.1-2+deb10u3                                       deb     CVE-2022-24975       Negligible  
git-man                       1:2.20.1-2+deb10u3            1:2.20.1-2+deb10u4         deb     CVE-2021-21300       High        
git-man                       1:2.20.1-2+deb10u3            1:2.20.1-2+deb10u4         deb     CVE-2021-40330       High        
git-man                       1:2.20.1-2+deb10u3            1:2.20.1-2+deb10u5         deb     CVE-2022-24765       High        
git-man                       1:2.20.1-2+deb10u3            1:2.20.1-2+deb10u5         deb     CVE-2022-29187       High        
git-man                       1:2.20.1-2+deb10u3            1:2.20.1-2+deb10u5         deb     CVE-2022-39253       Medium      
git-man                       1:2.20.1-2+deb10u3            1:2.20.1-2+deb10u5         deb     CVE-2022-39260       High        
git-man                       1:2.20.1-2+deb10u3            1:2.20.1-2+deb10u7         deb     CVE-2022-23521       Critical    
git-man                       1:2.20.1-2+deb10u3            1:2.20.1-2+deb10u7         deb     CVE-2022-41903       Critical    
gnupg                         2.2.12-1+deb10u1              (won't fix)                deb     CVE-2019-14855       Low         
gnupg                         2.2.12-1+deb10u1              2.2.12-1+deb10u2           deb     CVE-2022-34903       Medium      
gnupg-l10n                    2.2.12-1+deb10u1              (won't fix)                deb     CVE-2019-14855       Low         
gnupg-l10n                    2.2.12-1+deb10u1              2.2.12-1+deb10u2           deb     CVE-2022-34903       Medium      
gnupg-utils                   2.2.12-1+deb10u1              (won't fix)                deb     CVE-2019-14855       Low         
gnupg-utils                   2.2.12-1+deb10u1              2.2.12-1+deb10u2           deb     CVE-2022-34903       Medium      
gpg                           2.2.12-1+deb10u1              (won't fix)                deb     CVE-2019-14855       Low         
gpg                           2.2.12-1+deb10u1              2.2.12-1+deb10u2           deb     CVE-2022-34903       Medium      
gpg-agent                     2.2.12-1+deb10u1              (won't fix)                deb     CVE-2019-14855       Low         
gpg-agent                     2.2.12-1+deb10u1              2.2.12-1+deb10u2           deb     CVE-2022-34903       Medium      
gpg-wks-client                2.2.12-1+deb10u1              (won't fix)                deb     CVE-2019-14855       Low         
gpg-wks-client                2.2.12-1+deb10u1              2.2.12-1+deb10u2           deb     CVE-2022-34903       Medium      
gpg-wks-server                2.2.12-1+deb10u1              (won't fix)                deb     CVE-2019-14855       Low         
gpg-wks-server                2.2.12-1+deb10u1              2.2.12-1+deb10u2           deb     CVE-2022-34903       Medium      
gpgconf                       2.2.12-1+deb10u1              (won't fix)                deb     CVE-2019-14855       Low         
gpgconf                       2.2.12-1+deb10u1              2.2.12-1+deb10u2           deb     CVE-2022-34903       Medium      
gpgsm                         2.2.12-1+deb10u1              (won't fix)                deb     CVE-2019-14855       Low         
gpgsm                         2.2.12-1+deb10u1              2.2.12-1+deb10u2           deb     CVE-2022-34903       Medium      
gpgv                          2.2.12-1+deb10u1              (won't fix)                deb     CVE-2019-14855       Low         
gpgv                          2.2.12-1+deb10u1              2.2.12-1+deb10u2           deb     CVE-2022-34903       Medium      
gzip                          1.9-3                         1.9-3+deb10u1              deb     CVE-2022-1271        High        
icu-devtools                  63.1-6+deb10u1                63.1-6+deb10u2             deb     CVE-2020-21913       Medium      
imagemagick                   8:6.9.10.23+dfsg-2.1+deb10u1                             deb     CVE-2005-0406        Negligible  
imagemagick                   8:6.9.10.23+dfsg-2.1+deb10u1                             deb     CVE-2008-3134        Medium      
imagemagick                   8:6.9.10.23+dfsg-2.1+deb10u1                             deb     CVE-2016-8678        Negligible  
imagemagick                   8:6.9.10.23+dfsg-2.1+deb10u1                             deb     CVE-2017-11754       Negligible  
imagemagick                   8:6.9.10.23+dfsg-2.1+deb10u1                             deb     CVE-2017-11755       Negligible  
imagemagick                   8:6.9.10.23+dfsg-2.1+deb10u1                             deb     CVE-2017-7275        Negligible  
imagemagick                   8:6.9.10.23+dfsg-2.1+deb10u1                             deb     CVE-2018-15607       Negligible  
imagemagick                   8:6.9.10.23+dfsg-2.1+deb10u1                             deb     CVE-2019-13310       Negligible  
imagemagick                   8:6.9.10.23+dfsg-2.1+deb10u1                             deb     CVE-2019-16709       Negligible  
imagemagick                   8:6.9.10.23+dfsg-2.1+deb10u1                             deb     CVE-2020-27753       Negligible  
imagemagick                   8:6.9.10.23+dfsg-2.1+deb10u1                             deb     CVE-2020-27755       Negligible  
imagemagick                   8:6.9.10.23+dfsg-2.1+deb10u1                             deb     CVE-2021-20224       Medium      
imagemagick                   8:6.9.10.23+dfsg-2.1+deb10u1                             deb     CVE-2021-20311       Negligible  
imagemagick                   8:6.9.10.23+dfsg-2.1+deb10u1                             deb     CVE-2021-3574        Low         
imagemagick                   8:6.9.10.23+dfsg-2.1+deb10u1                             deb     CVE-2022-3213        Medium      
imagemagick                   8:6.9.10.23+dfsg-2.1+deb10u1  (won't fix)                deb     CVE-2020-19667       High        
imagemagick                   8:6.9.10.23+dfsg-2.1+deb10u1  (won't fix)                deb     CVE-2020-25664       Medium      
imagemagick                   8:6.9.10.23+dfsg-2.1+deb10u1  (won't fix)                deb     CVE-2020-25665       Medium      
imagemagick                   8:6.9.10.23+dfsg-2.1+deb10u1  (won't fix)                deb     CVE-2020-25666       Low         
imagemagick                   8:6.9.10.23+dfsg-2.1+deb10u1  (won't fix)                deb     CVE-2020-25674       Medium      
imagemagick                   8:6.9.10.23+dfsg-2.1+deb10u1  (won't fix)                deb     CVE-2020-25675       Low         
imagemagick                   8:6.9.10.23+dfsg-2.1+deb10u1  (won't fix)                deb     CVE-2020-25676       Medium      
imagemagick                   8:6.9.10.23+dfsg-2.1+deb10u1  (won't fix)                deb     CVE-2020-27560       Low         
imagemagick                   8:6.9.10.23+dfsg-2.1+deb10u1  (won't fix)                deb     CVE-2020-27750       Medium      
imagemagick                   8:6.9.10.23+dfsg-2.1+deb10u1  (won't fix)                deb     CVE-2020-27751       Low         
imagemagick                   8:6.9.10.23+dfsg-2.1+deb10u1  (won't fix)                deb     CVE-2020-27752       High        
imagemagick                   8:6.9.10.23+dfsg-2.1+deb10u1  (won't fix)                deb     CVE-2020-27754       Low         
imagemagick                   8:6.9.10.23+dfsg-2.1+deb10u1  (won't fix)                deb     CVE-2020-27756       Medium      
imagemagick                   8:6.9.10.23+dfsg-2.1+deb10u1  (won't fix)                deb     CVE-2020-27757       Low         
imagemagick                   8:6.9.10.23+dfsg-2.1+deb10u1  (won't fix)                deb     CVE-2020-27758       Low         
imagemagick                   8:6.9.10.23+dfsg-2.1+deb10u1  (won't fix)                deb     CVE-2020-27759       Low         
imagemagick                   8:6.9.10.23+dfsg-2.1+deb10u1  (won't fix)                deb     CVE-2020-27760       Medium      
imagemagick                   8:6.9.10.23+dfsg-2.1+deb10u1  (won't fix)                deb     CVE-2020-27761       Low         
imagemagick                   8:6.9.10.23+dfsg-2.1+deb10u1  (won't fix)                deb     CVE-2020-27762       Medium      
imagemagick                   8:6.9.10.23+dfsg-2.1+deb10u1  (won't fix)                deb     CVE-2020-27763       Low         
imagemagick                   8:6.9.10.23+dfsg-2.1+deb10u1  (won't fix)                deb     CVE-2020-27764       Low         
imagemagick                   8:6.9.10.23+dfsg-2.1+deb10u1  (won't fix)                deb     CVE-2020-27765       Low         
imagemagick                   8:6.9.10.23+dfsg-2.1+deb10u1  (won't fix)                deb     CVE-2020-27766       High        
imagemagick                   8:6.9.10.23+dfsg-2.1+deb10u1  (won't fix)                deb     CVE-2020-27767       Low         
imagemagick                   8:6.9.10.23+dfsg-2.1+deb10u1  (won't fix)                deb     CVE-2020-27768       Low         
imagemagick                   8:6.9.10.23+dfsg-2.1+deb10u1  (won't fix)                deb     CVE-2020-27769       Low         
imagemagick                   8:6.9.10.23+dfsg-2.1+deb10u1  (won't fix)                deb     CVE-2020-27770       Medium      
